id,description,assignee,type,created,status,priority_score,resolve_hours
1,张三：电动车违停导致通行受阻,张三,功能问题,2026-05-16 09:00,延期修复,8,36
2,李四：登录按钮颜色与风格不一致,李四,体验问题,2026-05-16 10:30,正常,4,12
3,王五：表单验证未提示必要字段,王五,功能问题,2026-05-16 11:20,延期修复,7,48
4,赵六：页面滚动时卡顿体验差,赵六,体验问题,2026-05-16 12:05,正常,5,18
5,孙八：搜索相关功能异常,孙八,功能问题,2026-05-18 09:00,正常,4,32
6,钱七：登录相关体验异常,钱七,体验问题,2026-05-19 16:00,正常,2,31
7,钱七：通知相关功能异常,钱七,功能问题,2026-05-25 12:00,已关闭,4,61
8,李四：权限相关性能异常,李四,性能问题,2026-05-19 13:00,延期修复,5,23
9,张三：权限相关体验异常,张三,体验问题,2026-05-28 08:45,正常,6,37
10,钱七：表单相关功能异常,钱七,功能问题,2026-05-29 18:30,延期修复,9,41
11,钱七：表单相关功能异常,钱七,功能问题,2026-05-28 12:00,已关闭,1,33
12,李四：搜索相关功能异常,李四,功能问题,2026-05-18 13:30,延期修复,8,50
13,李四：表单相关性能异常,李四,性能问题,2026-05-24 11:15,延期修复,10,25
14,赵六：支付相关体验异常,赵六,体验问题,2026-05-19 08:30,延期修复,6,11
15,赵六：支付相关体验异常,赵六,体验问题,2026-05-19 18:45,正常,10,44
16,赵六：列表相关性能异常,赵六,性能问题,2026-05-19 16:30,延期修复,5,21
17,孙八：通知相关性能异常,孙八,性能问题,2026-05-18 16:45,延期修复,6,32
18,张三：列表相关功能异常,张三,功能问题,2026-05-25 09:45,正常,3,58
19,赵六：搜索相关性能异常,赵六,性能问题,2026-05-26 09:30,延期修复,9,5
20,孙八：搜索相关体验异常,孙八,体验问题,2026-05-23 08:30,正常,7,24
